open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_vol,taker_buy_quote_vol,ignore,log_return
2024-01-01 00:00:00,42283.58,42298.62,42261.02,42298.61,35.92724,2024-01-01 00:00:59.999,1519031.6945192,1327,23.18766,980394.7103456,0,
2024-01-01 00:01:00,42298.62,42320.0,42298.61,42320.0,21.16779,2024-01-01 00:01:59.999,895580.8610456,1348,13.47483,570080.7942181,0,0.000505562557824955
2024-01-01 00:02:00,42319.99,42331.54,42319.99,42325.5,21.60391,2024-01-01 00:02:59.999,914371.1381861,1019,11.21801,474798.5874114,0,0.00012995374846242193
2024-01-01 00:03:00,42325.5,42368.0,42325.49,42367.99,30.5073,2024-01-01 00:03:59.999,1291996.9465156,1241,24.04878,1018449.0849394,0,0.0010033829888183828
2024-01-01 00:04:00,42368.0,42397.23,42367.99,42397.23,46.05107,2024-01-01 00:04:59.999,1951945.1923031,1415,34.12804,1446539.2938964,0,0.0006899056277983685
2024-01-01 00:05:00,42397.22,42409.2,42385.26,42409.2,32.26766,2024-01-01 00:05:59.999,1368040.0098892,1255,20.99093,889944.4943977,0,0.00028228991786301977
2024-01-01 00:06:00,42409.19,42431.09,42405.89,42423.95,28.13597,2024-01-01 00:06:59.999,1193371.997526,1410,15.57884,660747.7152969,0,0.0003477414229845735
2024-01-01 00:07:00,42423.94,42432.74,42414.45,42414.45,26.49738,2024-01-01 00:07:59.999,1124162.9071016,993,6.62244,280969.2218798,0,-0.00022395519103860114
2024-01-01 00:08:00,42414.45,42420.07,42406.0,42420.07,28.00823,2024-01-01 00:08:59.999,1187955.6177451,686,18.05296,765729.3472704,0,0.00013249323525894207
2024-01-01 00:09:00,42420.06,42420.07,42403.99,42409.96,26.40178,2024-01-01 00:09:59.999,1119844.1705059,790,8.20639,348060.8325401,0,-0.00023835898791661018
2024-01-01 00:10:00,42409.97,42440.06,42409.96,42440.05,22.61788,2024-01-01 00:10:59.999,959681.107105,736,19.13842,812061.7441319,0,0.0007092515666496118
2024-01-01 00:11:00,42440.06,42480.68,42440.05,42479.32,31.81488,2024-01-01 00:11:59.999,1350940.1818971,1688,21.44103,910359.5040936,0,0.000924877393680258
2024-01-01 00:12:00,42479.31,42479.32,42462.22,42462.24,25.25342,2024-01-01 00:12:59.999,1072439.1646301,901,5.84846,248349.629232,0,-0.0004021588543982909
2024-01-01 00:13:00,42462.24,42480.16,42460.0,42480.15,21.40862,2024-01-01 00:13:59.999,909149.5462351,762,13.69327,581524.5721504,0,0.00042169758268905685
2024-01-01 00:14:00,42480.16,42488.09,42465.78,42488.0,34.04769,2024-01-01 00:14:59.999,1446175.967324,1080,13.13848,558042.2954208,0,0.00018477511920258325
2024-01-01 00:15:00,42488.0,42516.46,42482.47,42510.0,33.40445,2024-01-01 00:15:59.999,1419584.3462806,1709,22.96846,976041.4710791,0,0.0005176592506007798
2024-01-01 00:16:00,42510.01,42554.57,42510.0,42541.27,61.90631,2024-01-01 00:16:59.999,2633518.772339,2049,38.7433,1648048.7745568,0,0.0007353212105819416
2024-01-01 00:17:00,42541.27,42541.27,42503.36,42503.36,27.71049,2024-01-01 00:17:59.999,1178139.0765696,833,5.71349,242887.4452957,0,-0.0008915319523642155
2024-01-01 00:18:00,42503.36,42503.37,42467.28,42474.03,25.78878,2024-01-01 00:18:59.999,1095530.1465375,953,10.09214,428673.1807656,0,-0.0006903012946075471
2024-01-01 00:19:00,42474.03,42476.5,42458.58,42458.85,14.51538,2024-01-01 00:19:59.999,616457.634456,609,5.29852,225037.6635475,0,-0.00035745874063467426
2024-01-01 00:20:00,42458.85,42465.48,42458.28,42459.31,19.02752,2024-01-01 00:20:59.999,807945.6392938,505,10.04046,426347.0602764,0,1.083396060413135e-05
2024-01-01 00:21:00,42459.31,42459.31,42445.84,42446.0,40.51182,2024-01-01 00:21:59.999,1719881.6227525,777,10.77528,457436.616684,0,-0.00031352574082880606
2024-01-01 00:22:00,42446.01,42461.1,42446.0,42461.09,32.82982,2024-01-01 00:22:59.999,1393630.3556122,672,15.60496,662454.8862747,0,0.0003554473521321211
2024-01-01 00:23:00,42461.1,42473.15,42461.09,42468.18,12.69272,2024-01-01 00:23:59.999,539051.9658418,498,6.54559,277983.886499,0,0.00016696246221056409
2024-01-01 00:24:00,42468.17,42491.1,42468.17,42473.93,12.20924,2024-01-01 00:24:59.999,518626.4670329,642,6.09649,258960.7305689,0,0.00013538632390421794
2024-01-01 00:25:00,42473.93,42500.0,42462.03,42499.99,23.92025,2024-01-01 00:25:59.999,1015908.8393173,727,16.88711,717190.9083075,0,0.0006133646845294468
2024-01-01 00:26:00,42500.0,42500.0,42463.62,42463.63,20.32232,2024-01-01 00:26:59.999,863254.4731701,775,6.55732,278511.4870819,0,-0.0008558957873887503
2024-01-01 00:27:00,42463.63,42470.01,42426.0,42436.0,32.69329,2024-01-01 00:27:59.999,1387635.9808932,1330,10.54423,447496.1682646,0,-0.0006508862518118563
